"","","Ambient and household air pollution attributable death rate (per 100 000 population)","Ambient and household air pollution attributable death rate (per 100 000 population)","Ambient and household air pollution attributable death rate (per 100 000 population)","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)"
"",""," 2016"," 2016"," 2016"," 2016"," 2016"," 2016"
"Country","Cause"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan"," Total","95[ 85–104]","96[ 85–106]","95[ 85–104]","211[ 189–231]","229[ 205–254]","195[ 174–214]"
"Afghanistan"," Lower respiratory infections","31[ 26–36]","29[ 24–34]","33[ 27–38]","32[ 26–36]","33[ 27–38]","31[ 25–35]"
"Afghanistan"," Trachea, bronchus, lung cancers","2[ 1–2]","2[ 2–3]","1[ 1–1]","4[ 3–5]","6[ 4–7]","2[ 2–3]"
"Afghanistan"," Ischaemic heart disease","39[ 33–44]","42[ 36–48]","35[ 30–39]","107[ 92–121]","120[ 103–138]","94[ 81–106]"
"Afghanistan"," Stroke","16[ 13–18]","14[ 12–16]","18[ 15–20]","45[ 39–52]","44[ 37–50]","47[ 40–54]"
"Afghanistan"," Chronic obstructive pulmonary disease","7[ 5–8]","7[ 4–9]","7[ 6–8]","23[ 18–28]","26[ 16–34]","21[ 17–25]"
"Albania"," Total","105[ 70–147]","118[ 81–164]","92[ 60–131]","68[ 46–96]","82[ 57–115]","55[ 36–78]"
"Albania"," Lower respiratory infections","5[ 3–7]","6[ 3–8]","5[ 3–7]","4[ 2–6]","4[ 3–6]","3[ 2–5]"
"Albania"," Trachea, bronchus, lung cancers","11[ 5–17]","13[ 6–22]","8[ 4–13]","7[ 3–11]","9[ 4–15]","5[ 3–8]"
"Albania"," Ischaemic heart disease","51[ 34–71]","59[ 40–82]","43[ 27–61]","33[ 22–46]","42[ 29–57]","25[ 16–36]"
"Albania"," Stroke","31[ 18–48]","31[ 19–47]","31[ 18–48]","20[ 11–30]","21[ 13–33]","18[ 10–28]"
"Albania"," Chronic obstructive pulmonary disease","7[ 4–11]","9[ 4–14]","5[ 3–8]","4[ 2–7]","6[ 3–10]","3[ 2–5]"
"Algeria"," Total","40[ 31–70]","43[ 34–74]","38[ 29–67]","50[ 39–86]","55[ 44–94]","44[ 34–79]"
"Algeria"," Lower respiratory infections","7[ 5–13]","7[ 4–12]","7[ 5–14]","8[ 5–14]","8[ 5–14]","7[ 5–14]"
"Algeria"," Trachea, bronchus, lung cancers","2[ 1–4]","3[ 1–5]","1[ 0–2]","2[ 1–4]","3[ 2–7]","1[ 0–2]"
"Algeria"," Ischaemic heart disease","22[ 16–37]","24[ 18–38]","20[ 15–35]","28[ 21–46]","31[ 23–50]","25[ 18–43]"
"Algeria"," Stroke","7[ 5–12]","7[ 5–11]","7[ 4–12]","8[ 6–15]","9[ 6–15]","8[ 5–15]"
"Algeria"," Chronic obstructive pulmonary disease","3[ 2–5]","4[ 2–7]","2[ 1–4]","4[ 2–7]","5[ 3–9]","3[ 2–5]"
"Angola"," Total","67[ 58–76]","65[ 55–74]","69[ 60–79]","119[ 102–135]","120[ 102–137]","117[ 101–132]"
